asofdate,program,borrname,borrstate,borrzip,thirdpartydollars,terminmonths,grossapproval,approvalfiscalyear,firstdisbursementdate,processingmethod,naicscode,collateralind,businesstype,loanstatus,jobssupported,grosschargeoffamount,approvalyear
12/31/2025,504,Hsu & Hsu Internal Medicine Associates,TX,75013,417050.0,240,339000,2010,,504 Basic,621111.0,Y,CORPORATION,CANCLD,6,0,2009
12/31/2025,504,Ikona Inc.,MA,2026,165000.0,240,137000,2010,11/17/2010,Accredited Lenders Program,541690.0,Y,CORPORATION,PIF,3,0,2010
12/31/2025,504,Stylz by Steffanie,MA,2189,81250.0,240,68000,2010,7/14/2010,Accredited Lenders Program,812990.0,Y,INDIVIDUAL,PIF,5,0,2010
12/31/2025,504,Jay Manufacturing Oshkosh Inc.,WI,54904,1200000.0,120,969000,2010,3/16/2011,Accredited Lenders Program,332322.0,Y,CORPORATION,CHGOFF,10,275853,2010
12/31/2025,504,CDI Thermoforming,PR,791,1250000.0,240,1007000,2010,2/15/2012,504 Basic,326112.0,Y,CORPORATION,PIF,20,0,2010
12/31/2025,504,Fiske Funeral Home Inc.,MA,1364,636000.0,240,516000,2010,12/14/2011,Accredited Lenders Program,812210.0,Y,CORPORATION,EXEMPT,2,0,2010
12/31/2025,504,Ralph Garramone M.D. P.A.,FL,33907,1100000.0,240,889000,2010,,Accredited Lenders Program,621111.0,Y,CORPORATION,CANCLD,7,0,2009
12/31/2025,504,American Steel Inc.,MT,59101,1818898.0,240,1468000,2010,8/11/2010,504 Basic,332311.0,Y,CORPORATION,PIF,37,0,2009
12/31/2025,504,Sol Granite & Natural Stone LLC,CO,81003,368363.0,240,298000,2010,3/14/2012,504 Basic,444190.0,Y,INDIVIDUAL,EXEMPT,1,0,2010
12/31/2025,504,Schmelz Real Estate L.L.C,MO,63084,295000.0,240,240000,2010,4/13/2011,Accredited Lenders Program,531311.0,Y,CORPORATION,PIF,7,0,2010
12/31/2025,504,Product Resources LLC,MA,1915,975000.0,240,789000,2010,10/12/2011,Accredited Lenders Program,335314.0,Y,CORPORATION,EXEMPT,35,0,2010
12/31/2025,504,Cape Coral Tax & Accounting Services L.,FL,33904,225000.0,240,182000,2010,8/11/2010,Accredited Lenders Program,541219.0,Y,CORPORATION,PIF,3,0,2010
12/31/2025,504,Atlas Real Estate & Financing Group,CA,91502,108000.0,240,91000,2010,10/13/2010,Accredited Lenders Program,531210.0,Y,CORPORATION,PIF,14,0,2010
12/31/2025,504,Periodontics and Dental Implants PC,CO,80304,860000.0,240,696000,2010,12/15/2010,Premier Certified Lenders Program,621210.0,Y,CORPORATION,PIF,1,0,2009
12/31/2025,504,Douglas J. Harrington DDS A Profession,CA,93446,1401822.0,240,1145000,2010,,Accredited Lenders Program,621210.0,Y,CORPORATION,CANCLD,9,0,2010
12/31/2025,504,Altman's Billiards and Barstools,IL,61802,127500.0,240,106000,2010,2/15/2012,Accredited Lenders Program,423910.0,Y,INDIVIDUAL,PIF,0,0,2010
